[4:1];[4:5];[7:3];[7:7];[7:10];[7:13];[7:21];[7:22]
1.14466;0.99176;1.2647;0;30.4832;0.171297;0.000425458;0
1.14649;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14527;0.991302;1.2647;0;30.4832;0.171297;0.000425458;0
1.14542;0.99054;1.2647;0;30.4832;0.171297;0.000425458;0
1.14603;0.990997;1.2647;0;30.4688;0.171297;0.0013712;0
1.14557;0.991913;1.2647;0;30.4688;0.171297;0.0013712;0
1.14511;0.991302;1.2647;0;30.4832;0.171297;0.0013712;0
1.14496;0.989929;1.2647;0;30.4832;0.171297;0.00160763;0
1.14588;0.991608;1.2647;0;30.4832;0.171297;0.00160763;0
1.14405;0.991302;1.2647;0;30.4832;0.171297;0.00160763;0
1.14603;0.989929;1.2647;0;30.4688;0.171297;0.00160763;0
1.14542;0.991455;1.2647;0;30.4688;0.171297;0.00160763;0
1.14542;0.991302;1.2647;0;30.4832;0.171297;0.00160763;0
1.14588;0.990997;1.2647;0;30.4832;0.171297;0.00160763;0
1.14679;0.99054;1.44281;0;30.4832;0.171297;0.0013712;0
1.14588;0.991608;1.44281;0;30.4832;0.171297;0.0013712;0
1.14572;0.991455;1.44281;0;30.4832;0.171297;0.00160763;0
1.14511;0.991608;1.2647;0;30.4832;0.171297;0.00160763;0
1.14527;0.989929;1.44281;0;30.4832;0.171297;0.0013712;0
1.14649;0.990997;1.44281;0;30.4832;0.171297;0.0013712;0
1.14481;0.990234;1.2647;0;30.4832;0.171061;0.000189021;0
1.14542;0.991302;1.2647;0;30.4832;0.171061;0.000189021;0
1.14603;0.99054;1.2647;0;30.4832;0.171297;0.000425458;0
1.14466;0.990845;1.2647;0;30.4832;0.171297;0.000425458;0
1.14435;0.990387;1.44281;0;30.4832;0.171297;0.000425458;0
1.14588;0.991302;1.44281;0;30.4832;0.171297;0.000425458;0
1.1445;0.990387;1.44281;0;30.4832;0.171297;0.000425458;0
1.14649;0.991302;1.2647;0;30.4832;0.171297;0.000425458;0
1.14481;0.992065;1.2647;0;30.4688;0.171297;0.000425458;0
1.1445;0.991608;1.2647;0;30.4688;0.171297;0.000425458;0
1.14389;0.991913;1.2647;0;30.4832;0.171297;0.000425458;0
1.14618;0.990692;1.2647;0;30.4832;0.171297;0.000425458;0
1.14405;0.990082;1.2647;0;30.4832;0.171297;0.000425458;0
1.1445;0.990082;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.991913;1.44281;0;30.4832;0.171297;0.000425458;0
1.14511;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14435;0.99115;1.2647;0;30.4832;0.171297;0.000425458;0
1.14496;0.990692;1.2647;0;30.4832;0.171297;0.000425458;0
1.14572;0.991455;1.44281;0;30.4832;0.171061;0.000425458;0
1.14588;0.99115;1.44281;0;30.4832;0.171297;0.000425458;0
1.14435;0.990845;1.44281;0;30.4832;0.171297;0.000189021;0
1.14527;0.991455;1.44281;0;30.4832;0.171297;0.000189021;0
1.14633;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14588;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14389;0.990692;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.990845;1.44281;0;30.4688;0.171297;0.000425458;0
1.14755;0.990845;1.44281;0;30.4688;0.171297;0.000425458;0
1.14633;0.990997;1.44281;0;30.4688;0.171297;0.000425458;0
1.14588;0.99176;1.2647;0;30.4832;0.171297;0.000425458;0
1.14527;0.991608;1.2647;0;30.5556;0.171297;0.000425458;0
1.14481;0.990997;1.2647;0;30.5556;0.171297;0.000425458;0
1.14511;0.991455;1.2647;0;30.6134;0.171297;0.000425458;0
1.1445;0.990387;1.2647;0;30.6134;0.171061;0.000425458;0
1.14496;0.990692;1.2647;0;30.6568;0.171061;0.000425458;0
1.14496;0.989929;1.2647;0;30.6568;0.171061;0.000425458;0
1.14542;0.991455;1.44281;0;30.7002;0.171297;0.000425458;0
1.14557;0.992065;1.44281;0;30.7002;0.171297;0.000425458;0
1.14496;0.991455;1.44281;0;30.7292;0.171297;0.000425458;0
1.14496;0.990845;1.2647;0;30.7292;0.171297;0.000425458;0
1.14527;0.990997;1.2647;0;30.6858;0.171297;0.000425458;0
1.14466;0.990845;1.44281;0;30.6858;0.171297;0.000425458;0
1.14511;0.990845;1.44281;0;30.6279;0.171061;0.000425458;0
1.1442;0.989624;1.2647;0;30.6279;0.171061;0.000425458;0
1.14466;0.992065;1.2647;0;30.6279;0.171061;0.000425458;0
1.14359;0.991913;1.44281;0;30.599;0.171061;0.000425458;0
1.14511;0.992523;1.44281;0;30.57;0.171297;0.000425458;0
1.14633;0.990692;1.44281;0;30.57;0.171297;0.000425458;0
1.1474;0.991455;1.44281;0;30.5411;0.171297;0.000425458;0
1.14466;0.991302;1.2647;0;30.5411;0.171297;0.000425458;0
1.14481;0.991608;1.2647;0;30.5411;0.171297;0.000425458;0
1.14572;0.992371;1.2647;0;30.5411;0.171297;0.000425458;0
1.14542;0.99054;1.2647;0;30.5266;0.171297;0.000425458;0
1.14694;0.99176;1.2647;0;30.5266;0.171297;0.000425458;0
1.14344;0.990234;1.2647;0;30.5122;0.171297;0.000425458;0
1.14649;0.991302;1.44281;0;30.5122;0.171297;0.000425458;0
1.14435;0.99054;1.44281;0;30.5122;0.171297;0.000425458;0
1.14374;0.991302;1.44281;0;30.5122;0.171297;0.000425458;0
1.14435;0.990692;1.44281;0;30.4977;0.171297;0.000425458;0
1.14572;0.990234;1.2647;0;30.4977;0.171297;0.000425458;0
1.14679;0.992218;1.2647;0;30.4832;0.171297;0.000189021;0
1.14572;0.989929;1.2647;0;30.4832;0.171297;0.000189021;0
1.14542;0.99054;1.2647;0;30.4977;0.171297;0.000425458;0
1.14572;0.989624;1.2647;0;30.4977;0.171297;0.000425458;0
1.14496;0.990387;1.2647;0;30.4832;0.171297;0.000425458;0
1.14466;0.990387;1.2647;0;30.4832;0.171297;0.000425458;0
1.14542;0.991608;1.2647;0;30.4832;0.171297;0.000425458;0
1.14649;0.989929;1.2647;0;30.4832;0.171297;0.000425458;0
1.14588;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14588;0.991455;1.2647;0;30.4832;0.171297;0.000425458;0
1.14527;0.989624;1.2647;0;30.4832;0.171297;0.000425458;0
1.14389;0.991455;1.2647;0;30.4832;0.171297;0.000425458;0
1.14588;0.991608;1.2647;0;30.4832;0.171297;0.000425458;0
1.14557;0.992371;1.2647;0;30.4832;0.171297;0.000425458;0
1.14618;0.990692;1.2647;0;30.4832;0.171297;0.00066188;0
1.14557;0.99176;1.2647;0;30.4832;0.171297;0.00066188;0
1.14603;0.991608;1.2647;0;30.4832;0.171297;0.00160763;0
1.14466;0.991913;1.2647;0;30.4832;0.171297;0.00160763;0
1.14664;0.99054;1.2647;0;30.4832;0.171297;0.00160763;0
1.14572;0.989014;1.2647;0;30.4832;0.171297;0.00160763;0
1.14542;0.990234;1.2647;0;30.4832;0.171297;0.00160763;0
1.14618;0.991608;1.44281;0;30.4832;0.171297;0.00160763;0
1.14679;0.99115;1.44281;0;30.4832;0.171297;0.0013712;0
1.14633;0.990387;1.2647;0;30.4832;0.171297;0.0013712;0
1.14405;0.99115;1.2647;0;30.4832;0.171297;0.0013712;0
1.14527;0.990997;1.44281;0;30.4832;0.171297;0.0013712;0
1.14466;0.990997;1.44281;0;30.4832;0.171297;0.00160763;0
1.14572;0.992065;1.44281;0;30.4832;0.171297;0.00160763;0
1.14542;0.990997;1.44281;0;30.4832;0.171297;0.00160763;0
1.14496;0.992218;1.44281;0;30.4832;0.171297;0.00160763;0
1.14649;0.99115;1.44281;0;30.4832;0.171297;0.00066188;0
1.14496;0.989624;1.44281;0;30.4832;0.171297;0.00066188;0
1.14435;0.990692;1.44281;0;30.4832;0.171297;0.000425458;0
1.14603;0.991608;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.990082;1.44281;0;30.4832;0.171297;0.000425458;0
1.14572;0.990997;1.44281;0;30.4832;0.171297;0.000425458;0
1.14435;0.989166;1.44281;0;30.4832;0.171297;0.000425458;0
1.14557;0.992065;1.44281;0;30.4832;0.171297;0.000425458;0
1.14618;0.99176;1.44281;0;30.4832;0.171297;0.000425458;0
1.14755;0.989929;1.44281;0;30.4832;0.171297;0.000425458;0
1.14542;0.990387;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.990387;1.2647;0;30.4832;0.171297;0.000425458;0
1.14603;0.990387;1.2647;0;30.4832;0.171297;0.000425458;0
1.14481;0.99176;1.2647;0;30.4832;0.171297;0.000425458;0
1.14603;0.991302;1.2647;0;30.4832;0.171297;0.000425458;0
1.14466;0.990692;1.44281;0;30.4832;0.171297;0.000425458;0
1.14511;0.991913;1.44281;0;30.4832;0.171297;0.00160763;0
1.14557;0.989777;1.44281;0;30.4832;0.171297;0.00160763;0
1.14542;0.991455;1.44281;0;30.4688;0.171297;0.00160763;0
1.14618;0.990845;1.44281;0;30.4688;0.171297;0.00160763;0
1.14557;0.990234;1.44281;0;30.4832;0.171297;0.00160763;0
1.14572;0.991608;1.44281;0;30.4832;0.171297;0.00160763;0
1.14649;0.991455;1.44281;0;30.4832;0.171297;0.00160763;0
1.14633;0.989166;1.2647;0;30.4832;0.171297;0.00160763;0
1.14664;0.990234;1.2647;0;30.4832;0.171297;0.00160763;0
1.14542;0.992981;1.2647;0;30.4832;0.171297;0.00160763;0
1.14527;0.990082;1.2647;0;30.4832;0.171297;0.00160763;0
1.14496;0.990845;1.2647;0;30.4832;0.171297;0.00160763;0
1.14435;0.99054;1.2647;0;30.4832;0.171297;0.00160763;0
1.14542;0.990234;1.2647;0;30.4832;0.171297;0.00160763;0
1.14725;0.990845;1.2647;0;30.4832;0.171297;0.000898331;0
1.1445;0.99054;1.2647;0;30.4832;0.171297;0.000898331;0
1.14694;0.99054;1.44281;0;30.4832;0.171297;0.000425458;0
1.14542;0.991913;1.44281;0;30.4832;0.171297;0.000425458;0
1.14511;0.992676;1.44281;0;30.4832;0.171297;0.000425458;0
1.14466;0.991608;1.2647;0;30.4832;0.171297;0.000425458;0
1.14511;0.991608;1.2647;0;30.4832;0.171297;0.000189021;0
1.14633;0.992523;1.2647;0;30.4832;0.171297;0.000189021;0
1.1442;0.992371;1.2647;0;30.4832;0.171297;0.000425458;0
1.14435;0.990234;1.44281;0;30.4832;0.171297;0.000425458;0
1.1442;0.989777;1.44281;0;30.4832;0.171297;0.000425458;0
1.14618;0.990845;1.44281;0;30.4832;0.171297;0.000425458;0
1.14313;0.990082;1.44281;0;30.4832;0.171297;0.000425458;0
1.14603;0.990387;1.44281;0;30.4832;0.171297;0.000425458;0
1.14511;0.990234;1.44281;0;30.4832;0.171061;0.000425458;0
1.14588;0.990082;1.2647;0;30.4832;0.171061;0.000425458;0
1.1471;0.992065;1.2647;0;30.4832;0.171297;0.000425458;0
1.14511;0.990845;1.2647;0;30.4832;0.171297;0.000425458;0
1.14466;0.989929;1.2647;0;30.4832;0.171297;0.000425458;0
1.14466;0.989777;1.44281;0;30.4832;0.171297;0.000425458;0
1.14405;0.991302;1.44281;0;30.4832;0.171297;0.000425458;0
1.1442;0.990997;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.99176;1.44281;0;30.4832;0.171297;0.000425458;0
1.14481;0.992065;1.44281;0;30.4832;0.171297;0.000425458;0
1.1471;0.990845;1.44281;0;30.4832;0.171297;0.000425458;0
1.14603;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14511;0.991455;1.2647;0;30.4832;0.171297;0.000425458;0
1.14603;0.990234;1.44281;0;30.4832;0.171297;0.000425458;0
1.14572;0.990234;1.44281;0;30.4832;0.171297;0.000425458;0
1.14572;0.99115;1.60123;0;30.4832;0.171297;0.000425458;0
1.14466;0.990997;1.60123;0;30.4832;0.171297;0.000425458;0
1.14527;0.992065;1.44281;0;30.4832;0.171297;0.000425458;0
1.14466;0.991455;1.44281;0;30.4832;0.171297;0.000425458;0
1.14649;0.990082;1.44281;0;30.4832;0.171297;0.000425458;0
1.14725;0.990692;1.44281;0;30.4832;0.171297;0.000425458;0
1.14588;0.992371;1.44281;0;30.4832;0.171297;0.000425458;0
1.14496;0.990082;1.44281;0;30.4832;0.171297;0.000425458;0
1.14466;0.990692;1.2647;0;30.4832;0.171297;0.000425458;0
1.14344;0.990997;1.2647;0;30.4832;0.171297;0.000425458;0
1.14481;0.990082;1.2647;0;30.4832;0.171297;0.000425458;0
1.14542;0.991608;1.2647;0;30.5411;0.171297;0.000425458;0
1.14572;0.99054;1.2647;0;30.5411;0.171297;0.000425458;0
1.1471;0.989777;1.2647;0;30.6134;0.171297;0.000425458;0
1.14633;0.99115;1.2647;0;30.6134;0.171297;0.000425458;0
